"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 22:39:19 GMT 2024","Mon May 13 22:39:26 GMT 2024","6911","","","","","","Validar a inclusão de um filme com sucesso",""
"passed","Mon May 13 22:39:26 GMT 2024","Mon May 13 22:39:26 GMT 2024","236","","","","","","Verificar login com sucesso(Validar endpoint de Auth",""
"passed","Mon May 13 22:39:26 GMT 2024","Mon May 13 22:39:26 GMT 2024","374","","","","","","Verificar cadastro de novo usuário com sucesso",""
"passed","Mon May 13 22:39:26 GMT 2024","Mon May 13 22:39:27 GMT 2024","110","","","","","","Verificar mensagem de erro ao utilizar e-mail existente",""
